"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM83A",6336.95415019174,8.12128742120331,0.574513301548873,14.1359432397971,2.28057637762571e-45,4.06695185421993e-41
"CRABP2",3774.85483966761,5.17714328601312,0.42801796225252,12.0956215453377,1.11395958233187e-33,9.93262061586216e-30
"RGS17",656.399443049299,5.37220666242809,0.452185245668388,11.8805439007354,1.4939212155536e-32,6.66027425924185e-29
"GREM1",2955.47401342212,5.78680664754089,0.486137193119925,11.9036492772799,1.1328273820789e-32,6.66027425924185e-29
"EPHA10",250.982199197895,3.30662167730308,0.282277903420961,11.7140648886424,1.07976001116932e-31,3.85107205583649e-28
"RTKN2",2986.8498178011,-4.20998053526847,0.370074500682214,-11.376035169966,5.50458358659405e-30,1.63605398499553e-26
"TUBB3",4157.02497569001,4.87961609842713,0.442475909687193,11.027981391974,2.80080989390703e-28,7.13526326257773e-25
"SPOCK2",11668.5874863813,-3.73012594254237,0.339464618522237,-10.9882613356892,4.35229304307949e-28,9.70180522965458e-25
"ATP10B",266.422134226746,5.76986928298963,0.531855545023874,10.8485646844777,2.025814956082e-27,3.87491210886262e-24
"GPR115",191.760288299944,5.78247614341004,0.53333268055819,10.8421560391875,2.17288852625056e-27,3.87491210886262e-24
"HMGA2",593.55015662787,6.87839999606847,0.645792212611426,10.6511039646234,1.72309349351294e-26,2.79344784271057e-23
"PRX",1827.09992144595,-3.73812639786061,0.351681085007228,-10.6293075096256,2.1772308070652e-26,3.23554641519947e-23
"GPD1",1808.79897128674,-5.28062346561118,0.498697239752641,-10.5888363613771,3.35739351944e-26,4.59224515179925e-23
"STX11",1214.49614589924,-2.59786444685858,0.245494546144974,-10.5821676597428,3.60519442186898e-26,4.59224515179925e-23
"SEMA3G",1089.24913545752,-3.36687088576422,0.31944162398643,-10.5398627885364,5.65813903391245e-26,6.72677289278405e-23
"PTPRH",250.411497749254,5.46462811213096,0.520688036815608,10.4950137620814,9.10644443898346e-26,1.01497014800245e-22
"CHRM1",82.2397228841208,-5.98232918091648,0.570874133393946,-10.4792437263719,1.07600726842669e-25,1.05519576849346e-22
"EMP2",26742.7965181679,-2.54683633807083,0.242950045851242,-10.482962985857,1.03450867572391e-25,1.05519576849346e-22
"GJB2",2051.14157757274,5.95592867312901,0.568579926919369,10.475094865552,1.12424828135343e-25,1.05519576849346e-22
"CAV1",23933.2005214154,-2.92160560551212,0.28069442839657,-10.4084916191654,2.26786422292684e-25,2.02214113437271e-22
"MGAT3",1354.71637609408,-4.10097233446331,0.394329239434103,-10.3998687501555,2.4827493111744e-25,2.10832706981777e-22
"B3GNT3",907.051882216216,3.92730381484624,0.379433104892962,10.3504511446204,4.16518433324798e-25,3.3762605552187e-22
"UPK3B",2670.38319742892,-5.78817353604502,0.574363459487732,-10.0775448723835,6.9439485465949e-24,5.38397541006204e-21
"STEAP1",1345.41833007082,3.41865739388026,0.340995685913984,10.0255150874331,1.17744047889449e-23,8.74887335838561e-21
"HHIPL2",798.942541170803,8.26528241812008,0.825573917781544,10.0115595225323,1.35597920242705e-23,9.67247084675263e-21
"FERMT1",812.797538266363,3.39138117976524,0.339981000628303,9.97520794837883,1.95691098522263e-23,1.34221513844136e-20
"GPR87",636.142760725081,5.94742000820752,0.600306436053058,9.90730675371579,3.86935957665716e-23,2.55564034557508e-20
