Gene_name,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
OR11G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DEFB123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBNO2,0,17399,4915,16662,2887,3285,2717,19786,8347,10144,3870,2011,6507,9049,9150,1127,2599,6879,5576,3563,16320,2795,11618,3317,6070,4630
HSD3B1,0,0,0,2,0,0,0,0,0,0,4,1,0,1,1,0,0,1,0,1,0,0,0,2,0,0
EIF4E,5,5587.99,2950.23,4971.47,3629.25,3891.11,2055.9,4812.32,1934.77,4747.17,6812.66,2447.8,2578.11,3808.45,7076.35,1374.15,2452.4,2272.2,1408.27,1660.2,2911.95,2699.65,2744.75,1516.51,3769.35,2775.76
KRTAP27-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1E,0,22,2,6,7152,0,4,68,6041,5,7,16,21,16007,16,5,4,1,1,3,0,8,2,5,5,2
STK39,0,4305,2649,3698,1365,2704,1539,6333,1603,6175,1937,2921,2178,2836,4298,312,870,1447,884,956,1633,1308,1431,1189,2069,1267
IFI27,0,14647,30013,17419,14816,28811,9576,40307,11881,1735,28613,12240,25854,995,70796,14909,17504,8553,12311,6400,6239,15137,15898,5627,15070,16773
NRN1L,0,44.33,9.37,57.59,0,9.09,22.4,8.21,0,11.06,78.95,5.86,17.77,0.86,15.38,99.58,17.55,70.08,45.91,12.34,44.93,134.26,40.88,15.96,98.47,35.79
CABS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR62,0,9,3,1,2,4,1,6,1,3,15,1,0,1,2,2,5,3,1,2,1,16,2,3,3,14
GTF3C2,0,6281.19,2939.83,5719.2,1202.87,2658.18,1586.12,5384.65,1534.9,3866.16,5798.31,2605.64,1772.31,1920.12,5408.8,1142.64,1491.24,3431.92,2260.02,2508.94,3585.4,2900.71,4041.66,2489.23,3184.21,3622.05
CDC27,1,7559.99,4697.92,6397,5679.05,3023,1781,7228,3318.89,5698.81,5139,2424,3420.9,5404.69,6613.85,1540,2286.95,2894,2103,2488,3178,2632,4028,1794,3067,3900
GLP2R,0,3,66,6,12,1,5,10,0,1,26,4,17,0,1,6,23,12,144,25,30,105,117,10,125,72
AP000349.1,0,165.51,0,2.39,0,105.48,65.62,227.68,133.22,38.79,156.84,110.63,2871.19,50.38,35.62,0.19,13.42,1.11,0,0,0,0.55,0,4.14,0.19,0
AC016757.3,0,35,20,53,3,50,41,11,9,32,8,55,6,18,53,6,40,9,12,13,36,40,24,17,72,40
SLC16A12,0,114,222,433,20,81,66,15,10,55,1187,324,16,39,25,22,116,139,152,361,140,237,331,103,210,354
SART1,0,7274,3811,5899,811,1616,2186,7708,2636,4868,3892,696,2083,3128,4506,908,2077,4795,3543,3201,4468,4111,5591,2909,3710,5643
SAT1,1,44886,16658,76992,18697,27965,11301,35150,12202,32965,59495,21785,18804,23168,21738,21880,21540,24807,31383,14007,36587,28719,29519,14716,56406,17690
