Hugo_Symbol,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
OR11G2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFB123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBNO2,0.0,17399.0,4915.0,16662.0,2887.0,3285.0,2717.0,19786.0,8347.0,10144.0,3870.0,2011.0,6507.0,9049.0,9150.0,1127.0,2599.0,6879.0,5576.0,3563.0,16320.0,2795.0,11618.0,3317.0,6070.0,4630.0
HSD3B1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
EIF4E,5.0,5587.99,2950.23,4971.47,3629.25,3891.11,2055.9,4812.32,1934.77,4747.17,6812.66,2447.8,2578.11,3808.45,7076.35,1374.15,2452.4,2272.2,1408.27,1660.2,2911.95,2699.65,2744.75,1516.51,3769.35,2775.76
KRTAP27-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H1E,0.0,22.0,2.0,6.0,7152.0,0.0,4.0,68.0,6041.0,5.0,7.0,16.0,21.0,16007.0,16.0,5.0,4.0,1.0,1.0,3.0,0.0,8.0,2.0,5.0,5.0,2.0
STK39,0.0,4305.0,2649.0,3698.0,1365.0,2704.0,1539.0,6333.0,1603.0,6175.0,1937.0,2921.0,2178.0,2836.0,4298.0,312.0,870.0,1447.0,884.0,956.0,1633.0,1308.0,1431.0,1189.0,2069.0,1267.0
IFI27,0.0,14647.0,30013.0,17419.0,14816.0,28811.0,9576.0,40307.0,11881.0,1735.0,28613.0,12240.0,25854.0,995.0,70796.0,14909.0,17504.0,8553.0,12311.0,6400.0,6239.0,15137.0,15898.0,5627.0,15070.0,16773.0
NRN1L,0.0,44.33,9.37,57.59,0.0,9.09,22.4,8.21,0.0,11.06,78.95,5.86,17.77,0.86,15.38,99.58,17.55,70.08,45.91,12.34,44.93,134.26,40.88,15.96,98.47,35.79
CABS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR62,0.0,9.0,3.0,1.0,2.0,4.0,1.0,6.0,1.0,3.0,15.0,1.0,0.0,1.0,2.0,2.0,5.0,3.0,1.0,2.0,1.0,16.0,2.0,3.0,3.0,14.0
GTF3C2,0.0,6281.19,2939.83,5719.2,1202.87,2658.18,1586.12,5384.65,1534.9,3866.16,5798.31,2605.64,1772.31,1920.12,5408.8,1142.64,1491.24,3431.92,2260.02,2508.94,3585.4,2900.71,4041.66,2489.23,3184.21,3622.05
CDC27,1.0,7559.99,4697.92,6397.0,5679.05,3023.0,1781.0,7228.0,3318.89,5698.81,5139.0,2424.0,3420.9,5404.69,6613.85,1540.0,2286.95,2894.0,2103.0,2488.0,3178.0,2632.0,4028.0,1794.0,3067.0,3900.0
GLP2R,0.0,3.0,66.0,6.0,12.0,1.0,5.0,10.0,0.0,1.0,26.0,4.0,17.0,0.0,1.0,6.0,23.0,12.0,144.0,25.0,30.0,105.0,117.0,10.0,125.0,72.0
AP000349.1,0.0,165.51,0.0,2.39,0.0,105.48,65.62,227.68,133.22,38.79,156.84,110.63,2871.19,50.38,35.62,0.19,13.42,1.11,0.0,0.0,0.0,0.55,0.0,4.14,0.19,0.0
AC016757.3,0.0,35.0,20.0,53.0,3.0,50.0,41.0,11.0,9.0,32.0,8.0,55.0,6.0,18.0,53.0,6.0,40.0,9.0,12.0,13.0,36.0,40.0,24.0,17.0,72.0,40.0
SLC16A12,0.0,114.0,222.0,433.0,20.0,81.0,66.0,15.0,10.0,55.0,1187.0,324.0,16.0,39.0,25.0,22.0,116.0,139.0,152.0,361.0,140.0,237.0,331.0,103.0,210.0,354.0
SART1,0.0,7274.0,3811.0,5899.0,811.0,1616.0,2186.0,7708.0,2636.0,4868.0,3892.0,696.0,2083.0,3128.0,4506.0,908.0,2077.0,4795.0,3543.0,3201.0,4468.0,4111.0,5591.0,2909.0,3710.0,5643.0
SAT1,1.0,44886.0,16658.0,76992.0,18697.0,27965.0,11301.0,35150.0,12202.0,32965.0,59495.0,21785.0,18804.0,23168.0,21738.0,21880.0,21540.0,24807.0,31383.0,14007.0,36587.0,28719.0,29519.0,14716.0,56406.0,17690.0
DCUN1D3,0.0,3048.9,2334.15,4075.48,3748.27,1059.0,517.0,2886.04,1772.71,2921.98,2587.91,736.0,3469.9,2726.1,1090.77,541.0,1412.1,2785.0,3686.91,1016.68,2166.49,1461.0,2617.23,750.79,2247.0,2001.0
BANF2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BET1,1.0,2880.0,1469.0,1957.0,2623.0,1585.0,1071.0,1280.0,468.0,2894.0,1742.0,3397.0,2118.0,1996.0,4984.0,659.0,1143.0,766.0,462.0,694.0,649.0,1116.0,962.0,807.0,1265.0,1229.0
TMEM247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
KRTAP9-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM6SF2,0.0,116.96,93.0,47.0,22.0,34.0,26.0,58.0,16.0,47.0,12.0,8.82,100.51,17.0,13.0,6.0,19.0,28.0,23.0,46.0,23.0,38.0,31.0,14.0,6.0,10.0
METTL3,0.0,3865.68,1116.84,2721.58,2451.35,1666.39,1148.28,2026.72,908.91,1441.66,2437.25,685.06,1900.6,1121.18,4025.08,430.97,889.17,1411.7,1170.86,1190.18,1402.01,1198.19,1673.92,920.75,1334.04,1724.23
ZC2HC1C,0.0,90.29,234.0,266.93,38.0,281.73,132.33,122.78,26.0,65.0,560.94,28.33,57.37,29.75,80.28,98.3,119.61,199.8,267.0,142.0,176.0,340.86,363.88,167.0,511.0,323.0
PAQR5,1.0,586.03,122.37,1805.26,245.01,1159.18,210.15,754.74,325.0,449.81,1067.0,820.28,201.0,367.15,746.23,466.0,979.0,2402.61,1666.0,1363.0,2437.0,2011.5,2463.76,1271.0,3317.89,2341.74
FOLH1,0.0,587.0,501.9,137.26,328.72,57.66,172.7,380.22,139.53,98.82,101.53,60.96,431.27,61.2,123.19,43.0,155.04,184.0,201.78,199.25,73.21,118.65,216.66,96.15,99.17,372.0
CLLU1OS,0.0,7.0,10.0,1.0,8.0,2.0,0.0,19.0,4.0,78.0,17.0,1.0,23.0,35.0,2.0,3.0,3.0,7.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
